date,event,fighter1,fighter1 - open,fighter1 - 48h,fighter1 - close,fighter2,fighter2 - open,fighter2 - 48h,fighter2 - close,winner
2024-05-04,UFC,Jamie Mullarkey,2024-03-29 16:31:00 - price: -180,2024-05-02 19:17:00 - price: +175,2024-05-04 19:41:00 - price: +204,Mauricio Ruffy,2024-03-29 16:31:00 - price: +150,2024-05-02 19:17:00 - price: -215,2024-05-04 19:41:00 - price: -258,Mauricio Ruffy
2024-04-28,UFC,Jhonata Diniz,2024-03-29 15:52:00 - price: -245,2024-04-25 20:03:00 - price: -276,2024-04-27 20:05:00 - price: -344,Austen Lane,2024-03-29 15:52:00 - price: +200,2024-04-25 20:03:00 - price: +220,2024-04-27 20:05:00 - price: +266,Jhonata Diniz
2024-04-28,UFC,Matheus Nicolau,2024-04-05 19:35:00 - price: -175,2024-04-25 21:31:00 - price: -185,2024-04-27 21:29:00 - price: -183,Alex Perez,2024-04-05 19:35:00 - price: +145,2024-04-25 21:31:00 - price: +151,2024-04-27 21:29:00 - price: +148,Alex Perez
2024-04-28,UFC,Bogdan Guskov,2024-03-29 15:42:00 - price: +136,2024-04-25 21:01:00 - price: +161,2024-04-27 21:01:00 - price: +153,Ryan Spann,2024-03-29 15:42:00 - price: -162,2024-04-25 21:01:00 - price: -196,2024-04-27 21:01:00 - price: -187,Bogdan Guskov
2024-04-27,UFC,James Llontop,2024-04-23 05:29:00 - price: -333,2024-04-25 17:01:00 - price: -417,2024-04-27 16:54:00 - price: -441,Chris Padilla,2024-04-23 05:29:00 - price: +250,2024-04-25 17:01:00 - price: +319,2024-04-27 16:54:00 - price: +333,Chris Padilla
2024-04-27,UFC,Michal Figlak,2024-04-13 23:57:00 - price: -135,2024-04-25 18:13:00 - price: -176,2024-04-27 18:13:00 - price: -179,Austin Hubbard,2024-04-13 23:57:00 - price: +110,2024-04-25 18:13:00 - price: +144,2024-04-27 18:13:00 - price: +147,Austin Hubbard
2024-04-27,UFC,Victor Henry,2024-03-29 15:46:00 - price: -600,2024-04-25 18:35:00 - price: -442,2024-04-27 18:39:00 - price: -427,Rani Yahya,2024-03-29 15:46:00 - price: +440,2024-04-25 18:35:00 - price: +331,2024-04-27 18:39:00 - price: +323,Victor Henry
2024-04-27,UFC,Tim Means,2024-03-29 15:44:00 - price: +190,2024-04-25 19:11:00 - price: +248,2024-04-27 19:13:00 - price: +222,Uros Medic,2024-03-29 15:44:00 - price: -230,2024-04-25 19:11:00 - price: -318,2024-04-27 19:13:00 - price: -283,Uros Medic
2024-04-27,UFC,Marnic Mann,2024-03-29 15:49:00 - price: +260,2024-04-25 17:25:00 - price: +269,2024-04-27 17:13:00 - price: +280,Ketlen Souza,2024-03-29 15:49:00 - price: -325,2024-04-25 17:25:00 - price: -352,2024-04-27 17:13:00 - price: -361,Ketlen Souza
2024-04-27,UFC,David Onama,2024-04-15 17:27:00 - price: +140,2024-04-25 19:35:00 - price: +136,2024-04-27 19:29:00 - price: +131,Jonathan Pearce,2024-04-15 17:27:00 - price: -170,2024-04-25 19:35:00 - price: -166,2024-04-27 19:29:00 - price: -158,David Onama
2024-04-14,UFC 300,Charles Oliveira,2024-01-08 00:38:00 - price: -120,2024-04-11 23:11:00 - price: +172,2024-04-13 22:48:00 - price: +170,Arman Tsarukyan,2024-01-08 00:38:00 - price: +100,2024-04-11 23:11:00 - price: -210,2024-04-13 22:48:00 - price: -205,Arman Tsarukyan
